"number","original_number","title","source","link","summary","pub_time","collect_time","news_id"
"1","1","网传博主网购土拨鼠，到手发现疑为喜马拉雅旱獭，上海疾控称正调查，饲养此类动物合法吗？若不想养该怎么办？","知乎","https://www.zhihu.com/question/13246151689","","","2025-02-25 16:57:19","caf46a381bccf83ae86e39b4b680251b"
"2","2","联合国安理会通过涉乌决议「呼吁迅速结束冲突」，中美俄均投下赞成票，这意味着什么？俄乌冲突何时能结束？","知乎","https://www.zhihu.com/question/13281535155","","","2025-02-25 16:57:19","4b79b91409d503f32535a8859363b550"
"3","3","《哪吒 2 》港澳上映首日即登顶，目前已是全球影史第八名，预计最终票房能达到多少？","知乎","https://www.zhihu.com/question/13215047635","","","2025-02-25 16:57:19","dbab97e0066c0d44f33bda78427f9e9f"
"4","4","湖南师范大学一教授公开与学生聊天记录，指责询问资料的学生「娇生惯养」，怎样看待他的做法？","知乎","https://www.zhihu.com/question/13295441633","","","2025-02-25 16:57:19","69874dcffcaafdfe53530a9b363a6845"
"5","5","博士配偶为初中学历被安排工作，湖北师范大学回应「符合政策，属劳务派遣」，怎样看待此事？","知乎","https://www.zhihu.com/question/13286722569","","","2025-02-25 16:57:19","e0e22964e7fbf6c1af85f40b232d4a13"
"6","6","iPhone 17 全系设计图曝光，Plus 机型被砍，4 款机型 3 种设计，怎样看这些变化？","知乎","https://www.zhihu.com/question/13194702893","","","2025-02-25 16:57:19","e1e6bf975682c784a91c19ddd7ca460e"
"7","7","老牌豪门曼联将关闭员工食堂，仅球员能吃上免费午餐，这能节省多少钱？可能出于哪些考虑？","知乎","https://www.zhihu.com/question/13268099627","","","2025-02-25 16:57:19","313291b761958b67ad3042acd957462d"
"8","8","俄罗斯宣布最新停战条件，关于俄美总统结束战争倡议的谈判成关键，如何看待目前的对话和冲突走向？","知乎","https://www.zhihu.com/question/13296842584","","","2025-02-25 16:57:19","6ace0bcfb99cc1b3b1aed7b9362504fe"
"9","9","珠海、中山成香港人买房养老新选择，如何看待这种现象？「香港挣钱内地花」会成为一种生活趋势吗？","知乎","https://www.zhihu.com/question/12813369340","","","2025-02-25 16:57:19","2377c0142b85d4dc3cf0ba1bed4a5574"
"10","10","《哪吒 2》中的章鱼大将军为什么能在岩浆中烤自己的腕吃？章鱼有痛感吗？它的可再生能力有多强？","知乎","https://www.zhihu.com/question/12487226776","","","2025-02-25 16:57:19","338adb21f9bbcf8ade10dd835253a8d2"
"11","11","有哪些看起来热量很高，实际热量却很低的食物？","知乎","https://www.zhihu.com/question/359675190","","","2025-02-25 16:57:19","cf5e4cda0a80c87e3cc1d4eaffb6a0d2"
"12","12","为什么全国各地突然刮起了高中双休减负的风？","知乎","https://www.zhihu.com/question/13148402976","","","2025-02-25 16:57:19","5a7a94b938a5caec3672d938c24cab80"
"13","13","DeepSeek预测「未来十年工资会变高的 10 大岗位」，多与AI、技术等相关，如何看待这一预测？","知乎","https://www.zhihu.com/question/12930594912","","","2025-02-25 16:57:19","40011fc4f2623ec1e3f5cbc919bf59b1"
"14","14","《哪吒之魔童闹海》中，三大龙王能否选择不叛变？","知乎","https://www.zhihu.com/question/12962034786","","","2025-02-25 16:57:19","960d51331205711179ac560b78c64ca3"
"15","15","爱奇艺 CEO 龚宇点名指责红果短剧「滥用市场支配地位」，如何看待爱优腾和红果之间在微短剧领域的竞争？","知乎","https://www.zhihu.com/question/12834303234","","","2025-02-25 16:57:19","bd64902cb192af806f732ef01cc637ce"
"16","16","中国首口万米深井完钻，钻出石油了吗？为什么我们要付出这么多去探索深地？","知乎","https://www.zhihu.com/question/12907868368","","","2025-02-25 16:57:19","b3631559da84cb877bf429b582f6cca4"
"17","17","澳大利亚为什么不引进狮子、老虎充当顶级掠食者的生态位?","知乎","https://www.zhihu.com/question/664929200","","","2025-02-25 16:57:19","931760c3210b2796ec14a6a4b5f04fbc"
"18","18","考研复试真的会出现「学历歧视」的现象吗？","知乎","https://www.zhihu.com/question/12287021791","","","2025-02-25 16:57:19","c320e61228e8586ec4dd53d28b2c8621"
"19","19","电车和油车基本同步出现，为啥人类先选择油车，过了100多年才回头再搞电车？","知乎","https://www.zhihu.com/question/13138938605","","","2025-02-25 16:57:19","bc2e2617e3ac889e0b5606ec14e19204"
"20","20","扫地机加仿生机械手会开启家用机器人新时代吗？如何看待石头 G30 Space 在扫地机形态上的突破？","知乎","https://www.zhihu.com/question/13288514907","","","2025-02-25 16:57:19","da66c07b55c1af2b881e24a448149656"
"21","21","如何评价 2025 年 2 月米哈游《崩坏星穹铁道》缇宝角色 PV「童言无忌」？","知乎","https://www.zhihu.com/question/13310676009","","","2025-02-25 16:57:19","8325b426592a2f02505c33554422139d"
"22","22","中国U20能改变中国在世界足球中的地位吗？","知乎","https://www.zhihu.com/question/12338011589","","","2025-02-25 16:57:19","7a804e411ae602cc19598e70155d6c04"
"23","23","为什么领导在下属提离职时常常表示「很突然」呢？","知乎","https://www.zhihu.com/question/12668460439","","","2025-02-25 16:57:19","6916c7fe308b8103b2fefd3a3426ba76"
"24","24","马里亚纳海沟吞噬掉的海水去哪里了？","知乎","https://www.zhihu.com/question/12604776931","","","2025-02-25 16:57:19","12789fbeac8f38a7aee25f15520d952c"
"25","25","你对尊严的理解是怎样的？","知乎","https://www.zhihu.com/question/23967367","","","2025-02-25 16:57:19","73e9e678603563c4dbb434a67058bb4d"
"26","26","电脑升级优先把钱花在哪？","知乎","https://www.zhihu.com/question/13219599639","","","2025-02-25 16:57:19","c0726615473053da2838ddea547c40f9"
"27","27","职场中，能力强却不被领导待见，到底是哪里出了问题？","知乎","https://www.zhihu.com/question/12924771511","","","2025-02-25 16:57:19","a22211164a23afb05c8bc9e4bf078134"
"28","28","有没有一种显示器，是一整块屏幕，但是是两个显示器？","知乎","https://www.zhihu.com/question/8427785489","","","2025-02-25 16:57:19","924b9b5016110905d182b48f89862145"
"29","29","孩子在做数学题时总是粗心大意，经常犯低级错误，该如何帮助他提高细心程度？","知乎","https://www.zhihu.com/question/12491823418","","","2025-02-25 16:57:19","c3767a547ba8a0c04536f345b5ab1675"
"30","30","《原神》深渊只能打到第十层，能不能提供一下思路？","知乎","https://www.zhihu.com/question/12940701774","","","2025-02-25 16:57:19","a85d1f8c178908c255b62806ffd4f25c"
"31","3","祖国大地春耕色块明艳动人","微博","https://s.weibo.com/weibo?q=%23%E7%A5%96%E5%9B%BD%E5%A4%A7%E5%9C%B0%E6%98%A5%E8%80%95%E8%89%B2%E5%9D%97%E6%98%8E%E8%89%B3%E5%8A%A8%E4%BA%BA%23","","","2025-02-25 16:57:19","8525f74a0312dbd7af7fb6f1d5c26a91"
"32","4","独身女子病逝房产收归国家","微博","https://s.weibo.com/weibo?q=%23%E7%8B%AC%E8%BA%AB%E5%A5%B3%E5%AD%90%E7%97%85%E9%80%9D%E6%88%BF%E4%BA%A7%E6%94%B6%E5%BD%92%E5%9B%BD%E5%AE%B6%23","","","2025-02-25 16:57:19","b3867c7889956166b877370bd8afe138"
"33","6","复旦大学通报博士后抄袭硕士论文","微博","https://s.weibo.com/weibo?q=%23%E5%A4%8D%E6%97%A6%E5%A4%A7%E5%AD%A6%E9%80%9A%E6%8A%A5%E5%8D%9A%E5%A3%AB%E5%90%8E%E6%8A%84%E8%A2%AD%E7%A1%95%E5%A3%AB%E8%AE%BA%E6%96%87%23","","","2025-02-25 16:57:19","aaca37c4d63b904744eb857048034d7b"
"34","8","IU美得不知今夕是何年","微博","https://s.weibo.com/weibo?q=IU%E7%BE%8E%E5%BE%97%E4%B8%8D%E7%9F%A5%E4%BB%8A%E5%A4%95%E6%98%AF%E4%BD%95%E5%B9%B4","","","2025-02-25 16:57:19","2de314bf74e0590146df09f27ca4c915"
"35","9","大蒜也没想到自己成了咖啡搭子","微博","https://s.weibo.com/weibo?q=%23%E5%A4%A7%E8%92%9C%E4%B9%9F%E6%B2%A1%E6%83%B3%E5%88%B0%E8%87%AA%E5%B7%B1%E6%88%90%E4%BA%86%E5%92%96%E5%95%A1%E6%90%AD%E5%AD%90%23","","","2025-02-25 16:57:19","9483d5808210cc0e8ac77c51efa9e422"
